Nodes ,AR,H,W,tau,lr
1024,0.00390625,2,512,30,0.1
2048,0.001953125,2,1024,30,0.1
4096,0.000976563,2,2048,30,0.1
8192,0.000488281,2,4096,30,0.1
14848,0.000269397,2,7424,30,0.1
2048,0.0078125,4,512,30,0.1
4096,0.00390625,4,1024,30,0.1
8192,0.001953125,4,2048,30,0.1
16384,0.000976563,4,4096,30,0.1
29696,0.000538793,4,7424,30,0.1
3072,0.01171875,6,512,30,0.1
6144,0.005859375,6,1024,30,0.1
12288,0.002929688,6,2048,30,0.1
24576,0.001464844,6,4096,30,0.1
44544,0.00080819,6,7424,30,0.1
4096,0.015625,8,512,30,0.1
8192,0.0078125,8,1024,30,0.1
16384,0.00390625,8,2048,30,0.1
32768,0.001953125,8,4096,30,0.1
59392,0.001077586,8,7424,30,0.1
5120,0.01953125,10,512,30,0.1
10240,0.009765625,10,1024,30,0.1
20480,0.004882813,10,2048,30,0.1
40960,0.002441406,10,4096,30,0.1
74240,0.001346983,10,7424,30,0.1
