Nodes ,AR,H,W,tau,lr
2000,0.002,2,1000,30,0.1
4000,0.001,2,2000,30,0.1
10000,0.0004,2,5000,30,0.1
20000,0.0002,2,10000,30,0.1
30000,0.000133333,2,15000,30,0.1
4000,0.004,4,1000,30,0.1
8000,0.002,4,2000,30,0.1
20000,0.0008,4,5000,30,0.1
40000,0.0004,4,10000,30,0.1
60000,0.000266667,4,15000,30,0.1
6000,0.006,6,1000,30,0.1
12000,0.003,6,2000,30,0.1
30000,0.0012,6,5000,30,0.1
60000,0.0006,6,10000,30,0.1
90000,0.0004,6,15000,30,0.1
8000,0.008,8,1000,30,0.1
16000,0.004,8,2000,30,0.1
40000,0.0016,8,5000,30,0.1
80000,0.0008,8,10000,30,0.1
120000,0.000533333,8,15000,30,0.1
10000,0.01,10,1000,30,0.1
20000,0.005,10,2000,30,0.1
50000,0.002,10,5000,30,0.1
100000,0.001,10,10000,30,0.1
150000,0.000666667,10,15000,30,0.1
